SampleID	host_scientific_name	Antibiotic	Anticancer	Antifeedant	Antifertility	Antifouling	Antifungal	Antihistamine	Antihypertensive	Antiinflammatory	Antileukemia	Antimalarial	Anti-MDR	Antimitotic/cytokinesis inhibition	Antimutagenic	Antineoplastic	Anti-HIV	Antihelminthic	Antioxidative	Antitumour	Antiviral	Brine shrimp assay	Carcinogen	Cytotoxicity	Enzyme activation	Enzyme inhibition	Gene expression suppression	Immunomodulatory (unspecified)	Immunostimulatoy	Immunosuppression	Inflammatory	Insecticidal	Neurodepressive	Neuroexcitory	Protein kinase inhibitory	P388/L1210/KB/HC8	Sea urchin egg inhib	Tumor promoter	Angiogenic	Alkaloids	Carotenoids	Cerebro-/sphingo-/ceramides	Diterpenoid	Macrolide	Macrocycle	Monoterpenoid	Polyether	Polyhalo	Polyketide	Porphyrin	Saponin	Sesquiterpenoid	Sesterterpenoid	Steroids/sterols	Terpenes (unspecified)	Triterpenoid	Tryptophan derived	Tyrosine derived	Spirocyclic
10793.10533.CVS.Ago.3a	Agelas oroides	YES	NO	NO	NO	NO	YES	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	YES	YES
10793.10533.328	Mycale grandis	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
10793.10533.MIIG1001	Haliclona cinerea	YES	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
10793.10533.ALG13.121	Sarcotragus spinosulus	YES	NO	YES	NO	YES	YES	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES	NO	YES	NO	NO	NO	NO	YES	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES	NO	NO	NO	NO
10793.10533.PVS.Ago.3a	Agelas oroides	YES	NO	NO	NO	NO	YES	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	YES	YES
10793.10533.AVS.Ago.1a	Agelas oroides	YES	NO	NO	NO	NO	YES	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	YES	YES
10793.5.29.6I.1182274	Xestospongia muta	YES	YES	YES	NO	NO	YES	NO	NO	NO	NO	YES	NO	YES	NO	NO	YES	NO	NO	YES	YES	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
10793.10533.CVS.Axd.3a	Axinella damicornis	YES	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
10793.Webster.3.E4.240.1181040	Carteriospongia foliascens	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
10793.TV11.8.12.1181970	Ircinia variabilis	YES	NO	YES	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	YES	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	YES	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO
