host_scientific_name	Antibiotic	Anticancer	Antifeedant	Antifertility	Antifouling	Antifungal	Antihistamine	Antihypertensive	Antiinflammatory	Antileukemia	Antimalarial	Anti-MDR	Antimitotic/cytokinesis inhibition	Antimutagenic	Antineoplastic	Anti-HIV	Antihelminthic	Antioxidative	Antitumour	Antiviral	Brine shrimp assay	Carcinogen	Cytotoxicity	Enzyme activation	Enzyme inhibition	Gene expression suppression	Immunomodulatory (unspecified)	Immunostimulatoy	Immunosuppression	Inflammatory	Insecticidal	Neurodepressive	Neuroexcitory	Protein kinase inhibitory	P388/L1210/KB/HC8	Sea urchin egg inhib	Tumor promoter	Angiogenic	Alkaloids	Carotenoids	Cerebro-/sphingo-/ceramides	Diterpenoid	Macrolide	Macrocycle	Monoterpenoid	Polyether	Polyhalo	Polyketide	Porphyrin	Saponin	Sesquiterpenoid	Sesterterpenoid	Steroids/sterols	Terpenes (unspecified)	Triterpenoid	Tryptophan derived	Tyrosine derived	Spirocyclic
Corallistes typus	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Corticium candelabrum	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Crambe crambe	YES	YES	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	YES	YES	YES	NO	YES	NO	NO	NO	NO	YES	NO	NO	NO	YES	NO	NO	YES	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
Crella incrustans	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
Cymbastela coralliophila	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
Darwinella oxeata	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	YES	NO	YES	NO	YES	NO	NO	NO	NO	NO
Desmacella pumilio	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Discodermia dissoluta	NO	YES	NO	NO	NO	YES	NO	NO	YES	NO	NO	YES	YES	NO	YES	NO	NO	NO	YES	NO	NO	NO	YES	NO	YES	NO	NO	NO	YES	NO	NO	NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	YES	YES	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
Dragmacidon reticulatum	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	YES	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Dysidea avara	YES	YES	NO	NO	YES	YES	NO	NO	YES	YES	NO	NO	YES	YES	YES	YES	NO	YES	YES	YES	YES	NO	YES	NO	YES	YES	NO	NO	NO	NO	YES	YES	NO	YES	YES	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO
Dysidea etheria	YES	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES	NO	NO	NO	YES	NO	YES	NO	YES	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO
Dysidea fragilis	YES	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	YES	NO	NO	NO	YES	NO	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	YES
Ecionemia alata	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Ectyoplasia ferox	YES	NO	YES	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES	NO	NO	NO
Erylus formosus	YES	NO	YES	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	YES	NO	YES	NO	NO	NO
Geodia barretti	YES	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Halichondria magniconulosa	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Halichondria melanadocia	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
